"Package" "Version"
"gridExtra" "gridExtra" "2.3"
"gridGraphics" "gridGraphics" "0.5-1"
"gtable" "gtable" "0.3.0"
"gtools" "gtools" "3.9.3"
"Gviz" "Gviz" "1.40.1"
"haven" "haven" "2.5.0"
"HDF5Array" "HDF5Array" "1.24.2"
"highr" "highr" "0.9"
"Hmisc" "Hmisc" "4.7-1"
"hms" "hms" "1.1.1"
"htmlTable" "htmlTable" "2.4.1"
"htmltools" "htmltools" "0.5.2"
"htmlwidgets" "htmlwidgets" "1.5.4"
"httr" "httr" "1.4.3"
"ids" "ids" "1.0.1"
"igraph" "igraph" "1.3.4"
"IlluminaHumanMethylation450kanno.ilmn12.hg19" "IlluminaHumanMethylation450kanno.ilmn12.hg19" "0.6.1"
"IlluminaHumanMethylation450kmanifest" "IlluminaHumanMethylation450kmanifest" "0.4.0"
"IlluminaHumanMethylationEPICmanifest" "IlluminaHumanMethylationEPICmanifest" "0.3.0"
"illuminaio" "illuminaio" "0.38.0"
"ini" "ini" "0.3.1"
"interp" "interp" "1.1-3"
"IRanges" "IRanges" "2.30.1"
"isoband" "isoband" "0.2.5"
"iterators" "iterators" "1.0.14"
"jpeg" "jpeg" "0.1-9"
"jquerylib" "jquerylib" "0.1.4"
"jsonlite" "jsonlite" "1.8.0"
"KEGGREST" "KEGGREST" "1.36.3"
"knitr" "knitr" "1.39"
"labeling" "labeling" "0.4.2"
"Lahman" "Lahman" "10.0-1"
"lambda.r" "lambda.r" "1.2.4"
"later" "later" "1.3.0"
"latticeExtra" "latticeExtra" "0.6-30"
"lazyeval" "lazyeval" "0.2.2"
"leaps" "leaps" "3.1"
"lifecycle" "lifecycle" "1.0.1"
"limma" "limma" "3.52.2"
"littler" "littler" "0.3.15"
"locfit" "locfit" "1.5-9.6"
"lubridate" "lubridate" "1.8.0"
"lumi" "lumi" "2.48.0"
"magrittr" "magrittr" "2.0.3"
"maps" "maps" "3.4.0"
"maptools" "maptools" "1.1-4"
"markdown" "markdown" "1.1"
"MatrixGenerics" "MatrixGenerics" "1.8.1"
"MatrixModels" "MatrixModels" "0.5-0"
"matrixStats" "matrixStats" "0.62.0"
"mclust" "mclust" "5.4.10"
"memoise" "memoise" "2.0.1"
"MethylSeekR" "MethylSeekR" "1.36.0"
"methylumi" "methylumi" "2.42.0"
"mhsmm" "mhsmm" "0.4.16"
"mime" "mime" "0.12"
"minfi" "minfi" "1.42.0"
"minqa" "minqa" "1.2.4"
"modelr" "modelr" "0.1.8"
"multtest" "multtest" "2.52.0"
"munsell" "munsell" "0.5.0"
"mvtnorm" "mvtnorm" "1.1-3"
"nleqslv" "nleqslv" "3.3.3"
"nor1mix" "nor1mix" "1.3-0"
"numDeriv" "numDeriv" "2016.8-1.1"
"nycflights13" "nycflights13" "1.0.2"
"openssl" "openssl" "2.0.2"
"org.Hs.eg.db" "org.Hs.eg.db" "3.15.0"
"patchwork" "patchwork" "1.1.1"
"pillar" "pillar" "1.7.0"
"pkgbuild" "pkgbuild" "1.3.1"
"pkgconfig" "pkgconfig" "2.0.3"
"pkgload" "pkgload" "1.3.0"
"plogr" "plogr" "0.2.0"
"plotrix" "plotrix" "3.8-2"
"plotwidgets" "plotwidgets" "0.5.1"
"plyr" "plyr" "1.8.7"
"png" "png" "0.1-7"
"polyclip" "polyclip" "1.10-0"
"polynom" "polynom" "1.4-1"
"praise" "praise" "1.0.0"
"preprocessCore" "preprocessCore" "1.58.0"
"prettyunits" "prettyunits" "1.1.1"
"processx" "processx" "3.6.1"
"progress" "progress" "1.2.2"
"promises" "promises" "1.2.0.1"
"ProtGenerics" "ProtGenerics" "1.28.0"
"ps" "ps" "1.7.1"
"purrr" "purrr" "0.3.4"
"quadprog" "quadprog" "1.5-8"
"quantreg" "quantreg" "5.94"
"qvalue" "qvalue" "2.28.0"
"R.methodsS3" "R.methodsS3" "1.8.2"
"R.oo" "R.oo" "1.25.0"
"R.utils" "R.utils" "2.12.0"
"R6" "R6" "2.5.1"
"rappdirs" "rappdirs" "0.3.3"
"rcmdcheck" "rcmdcheck" "1.4.0"
"RColorBrewer" "RColorBrewer" "1.1-3"
"Rcpp" "Rcpp" "1.0.8.3"
"RcppArmadillo" "RcppArmadillo" "0.11.2.0.0"
"RcppEigen" "RcppEigen" "0.3.3.9.2"
"RCurl" "RCurl" "1.98-1.8"
"readr" "readr" "2.1.2"
"readxl" "readxl" "1.4.1"
"rematch" "rematch" "1.0.1"
"rematch2" "rematch2" "2.1.2"
"remotes" "remotes" "2.4.2"
"reprex" "reprex" "2.0.1"
"reshape" "reshape" "0.8.9"
"reshape2" "reshape2" "1.4.4"
"restfulr" "restfulr" "0.0.15"
"rhdf5" "rhdf5" "2.40.0"
"rhdf5filters" "rhdf5filters" "1.8.0"
"Rhdf5lib" "Rhdf5lib" "1.18.2"
"Rhtslib" "Rhtslib" "1.28.0"
"rjson" "rjson" "0.2.21"
"rlang" "rlang" "1.0.3"
"RMariaDB" "RMariaDB" "1.2.2"
"rmarkdown" "rmarkdown" "2.15"
"RnBeads" "RnBeads" "2.14.0"
"rngtools" "rngtools" "1.5.2"
"ROC" "ROC" "1.72.0"
"roxygen2" "roxygen2" "7.2.0"
"RPostgres" "RPostgres" "1.4.4"
"rprojroot" "rprojroot" "2.0.3"
"Rsamtools" "Rsamtools" "2.12.0"
"RSQLite" "RSQLite" "2.2.14"
"rstudioapi" "rstudioapi" "0.13"
"rtracklayer" "rtracklayer" "1.56.1"
"ruv" "ruv" "0.9.7.1"
"rversions" "rversions" "2.1.1"
"rvest" "rvest" "1.0.2"
"S4Vectors" "S4Vectors" "0.34.0"
"sass" "sass" "0.4.1"
"scales" "scales" "1.2.0"
"scatterpie" "scatterpie" "0.1.7"
"scatterplot3d" "scatterplot3d" "0.3-41"
"scrime" "scrime" "1.3.5"
"selectr" "selectr" "0.4-2"
"sessioninfo" "sessioninfo" "1.2.2"
"shadowtext" "shadowtext" "0.1.2"
"siggenes" "siggenes" "1.70.0"
"snow" "snow" "0.4-4"
"sp" "sp" "1.5-0"
"spam" "spam" "2.9-1"
"SparseM" "SparseM" "1.81"
"sparseMatrixStats" "sparseMatrixStats" "1.8.0"
"statmod" "statmod" "1.4.37"
"stringdist" "stringdist" "0.9.8"
"stringi" "stringi" "1.7.6"
"stringr" "stringr" "1.4.1"
"SummarizedExperiment" "SummarizedExperiment" "1.26.1"
"sys" "sys" "3.4"
"tagcloud" "tagcloud" "0.6"
"testthat" "testthat" "3.1.4"
"tibble" "tibble" "3.1.7"
"tidygraph" "tidygraph" "1.2.1"
"tidyr" "tidyr" "1.2.0"
"tidyselect" "tidyselect" "1.1.2"
"tidytree" "tidytree" "0.4.0"
"tidyverse" "tidyverse" "1.3.1"
"tinytex" "tinytex" "0.40"
"tmod" "tmod" "0.46.2"
"treeio" "treeio" "1.20.2"
"tweenr" "tweenr" "2.0.0"
"TxDb.Hsapiens.UCSC.hg19.knownGene" "TxDb.Hsapiens.UCSC.hg19.knownGene" "3.2.2"
"tzdb" "tzdb" "0.3.0"
"usethis" "usethis" "2.1.6"
"utf8" "utf8" "1.2.2"
"uuid" "uuid" "1.1-0"
"VariantAnnotation" "VariantAnnotation" "1.42.1"
"vctrs" "vctrs" "0.4.1"
"versions" "versions" "0.3"
"viridis" "viridis" "0.6.2"
"viridisLite" "viridisLite" "0.4.0"
"vroom" "vroom" "1.5.7"
"waldo" "waldo" "0.4.0"
"wateRmelon" "wateRmelon" "2.2.0"
"whisker" "whisker" "0.4"
"withr" "withr" "2.5.0"
"xfun" "xfun" "0.31"
"XML" "XML" "3.99-0.10"
"xml2" "xml2" "1.3.3"
"xopen" "xopen" "1.0.0"
"xtable" "xtable" "1.8-4"
"XVector" "XVector" "0.36.0"
"yaml" "yaml" "2.3.5"
"yulab.utils" "yulab.utils" "0.0.5"
"zip" "zip" "2.2.0"
"zlibbioc" "zlibbioc" "1.42.0"
